Time TotalEnergy KineticEnergy PotentialEnergy
0.01 455.646 13.9595 441.686
0.02 459.762 16.4533 443.309
0.03 466.981 21.5969 445.384
0.04 474.709 26.9921 447.717
0.05 482.889 32.746 450.143
0.06 492.757 40.1259 452.631
0.07 503.263 48.0899 455.174
0.08 514.449 56.6569 457.792
0.09 527.567 67.0937 460.474
0.1 541.274 78.0635 463.211
0.11 555.841 89.7941 466.046
0.12 570.363 101.299 469.065
0.13 586.413 114.095 472.319
0.14 602.739 126.935 475.803
0.15 618.964 139.384 479.58
0.16 635.646 151.933 483.713
0.17 653.524 165.387 488.138
0.18 670.746 177.872 492.874
0.19 689.325 191.281 498.044
0.2 707.719 204.117 503.602
0.21 725.191 215.514 509.676
0.22 742.45 226.246 516.205
0.23 760.6 237.377 523.223
0.24 778.913 248.279 530.634
0.25 797.269 258.809 538.46
0.26 815.59 268.885 546.705
0.27 831.552 276.136 555.416
0.28 847.432 282.774 564.658
0.29 863.395 289.019 574.375
0.3 877.593 292.992 584.601
0.31 893.539 298.218 595.321
0.32 905.573 299.231 606.342
0.33 916.802 299.195 617.607
0.34 927.968 298.935 629.033
0.35 940.463 299.627 640.836
0.36 950.485 297.772 652.713
0.37 959.299 294.685 664.614
0.38 966.132 289.711 676.422
0.39 970.918 282.844 688.074
0.4 981.599 282.059 699.54
0.41 988.508 277.565 710.944
0.42 994.31 271.996 722.314
0.43 1000.82 267.318 733.501
0.44 1004.7 260.188 744.514
0.45 1013.46 258.052 755.407
0.46 1019.28 253.138 766.146
0.47 1025.63 248.993 776.636
0.48 1029.38 242.523 786.857
0.49 1031.55 234.653 796.901
0.5 1035.91 229.24 806.671
0.51 1040.49 224.334 816.159
0.52 1045.97 220.573 825.398
0.53 1049.62 215.281 834.343
0.54 1052.63 209.514 843.115
0.55 1055.94 204.221 851.718
0.56 1058.53 198.428 860.104
0.57 1061.01 192.711 868.296
0.58 1063.15 186.911 876.236
0.59 1067.35 183.388 883.963
0.6 1071.28 179.783 891.5
0.61 1073.75 174.823 898.93
0.62 1075.76 169.6 906.164
0.63 1080.56 167.267 913.293
0.64 1085.14 164.957 920.179
0.65 1087.98 161.18 926.799
0.66 1088.43 155.33 933.101
0.67 1091.74 152.745 938.996
0.68 1094.88 150.273 944.607
0.69 1097.74 147.717 950.021
0.7 1097.04 141.869 955.172
0.71 1100.07 139.951 960.118
0.72 1100.01 135.131 964.882
0.73 1102.87 133.471 969.403
0.74 1104.82 131.079 973.739
0.75 1105.39 127.488 977.901
0.76 1109.27 127.385 981.887
0.77 1113.03 127.346 985.682
0.78 1114.44 125.091 989.35
0.79 1115.32 122.502 992.815
0.8 1118.22 122.068 996.151
0.81 1119.61 120.336 999.277
0.82 1121.48 119.282 1002.2
0.83 1123.23 118.31 1004.92
0.84 1124.26 116.852 1007.41
0.85 1122.83 113.231 1009.6
0.86 1123.22 111.667 1011.55
0.87 1124.54 111.214 1013.33
0.88 1126.67 111.683 1014.99
0.89 1123.37 106.906 1016.46
0.9 1126.28 108.576 1017.7
0.91 1127 108.206 1018.79
0.92 1126.72 106.945 1019.78
0.93 1124.81 104.235 1020.58
0.94 1127.35 106.11 1021.24
0.95 1127.63 105.869 1021.76
0.96 1125.56 103.396 1022.17
0.97 1128 105.503 1022.49
0.98 1129.09 106.397 1022.69
0.99 1126.55 103.818 1022.73
1 1126.54 103.911 1022.62
1.01 1125.14 102.774 1022.36
1.02 1124.33 102.397 1021.93
1.03 1124.54 103.205 1021.33
1.04 1122.37 101.792 1020.57
1.05 1120.25 100.577 1019.68
1.06 1118.75 100.066 1018.68
1.07 1117.84 100.328 1017.51
1.08 1115.65 99.4423 1016.21
1.09 1112.67 97.9064 1014.77
1.1 1110.51 97.2552 1013.25
1.11 1107.49 95.899 1011.59
1.12 1103.88 94.0728 1009.8
1.13 1101.74 93.7479 1007.99
1.14 1098.24 92.1833 1006.06
1.15 1094.63 90.5616 1004.07
1.16 1090.77 88.7866 1001.99
1.17 1089.06 89.1961 999.866
1.18 1087.25 89.4957 997.753
1.19 1081.59 85.9567 995.632
1.2 1078.94 85.4661 993.471
1.21 1075.49 84.2103 991.285
1.22 1073.66 84.5294 989.127
1.23 1071.37 84.4383 986.933
1.24 1067.12 82.4491 984.671
1.25 1064.19 81.7714 982.415
1.26 1061.55 81.3621 980.189
1.27 1057.06 79.0878 977.974
1.28 1052.25 76.4288 975.817
1.29 1049.51 75.8841 973.623
1.3 1046.71 75.3093 971.4
1.31 1044.19 75.0671 969.123
1.32 1041.18 74.3499 966.832
1.33 1036.7 72.1943 964.501
1.34 1035.61 73.4373 962.173
1.35 1030.38 70.4124 959.966
1.36 1027.33 69.4898 957.844
1.37 1025.19 69.4063 955.787
1.38 1022.33 68.5021 953.828
1.39 1018.76 66.8423 951.918
1.4 1015.72 65.6708 950.054
1.41 1012.83 64.6032 948.225
1.42 1009.47 63.1012 946.368
1.43 1007.36 62.7902 944.569
1.44 1003.52 60.6786 942.843
1.45 1001.34 60.2167 941.127
1.46 996.953 57.4783 939.475
1.47 995.618 57.75 937.868
1.48 992.059 55.71 936.349
