Time TotalEnergy KineticEnergy PotentialEnergy
0.01 455.646 13.9595 441.686
0.02 459.762 16.4533 443.309
0.03 466.981 21.597  445.384
0.04 474.709 26.9923 447.717
0.05 482.888 32.7451 450.143
0.06 492.757 40.1264 452.631
0.07 503.266 48.0926 455.173
0.08 514.439 56.6464 457.793
0.09 527.557 67.0816 460.475
0.1 541.299 78.0855  463.214
0.11 555.791 89.7488 466.042
0.12 570.363 101.295 469.068
0.13 586.182 113.856 472.326
0.14 602.83 127.02   475.81
0.15 618.868 139.297 479.571
0.16 635.847 152.198 483.649
0.17 652.964 164.873 488.091
0.18 670.552 177.684 492.869
0.19 687.952 189.934 498.018
0.2 705.521 201.953  503.568
0.21 723.38 213.858  509.523
0.22 740.963 225.002 515.961
0.23 761.074 238.1   522.974
0.24 778.867 248.446 530.422
0.25 796.695 258.41  538.285
0.26 815.502 268.921 546.581
0.27 831.858 276.507 555.351
0.28 848.001 283.438 564.563
0.29 862.73 288.548  574.182
0.3 877.252 292.919  584.333
0.31 892.293 297.287 595.006
0.32 904.847 298.755 606.092
0.33 915.34 297.891  617.449
0.34 928.489 299.499 628.99
0.35 939.31 298.703  640.607
0.36 946.922 294.63  652.292
0.37 957.587 293.539 664.048
0.38 965.96 290.144  675.816
0.39 973.521 285.826 687.695
0.4 983.608 284.128  699.48
0.41 987.435 276.279 711.156
0.42 993.797 271.197 722.599
0.43 999.734 265.83  733.904
0.44 1007 261.976    745.028
0.45 1013.95 257.971 755.979
0.46 1019.62 252.952 766.669
0.47 1022.55 245.456 777.092
0.48 1028.78 241.436 787.347
0.49 1034.06 236.641 797.42
0.5 1039.43 232.177  807.251
0.51 1042.22 225.433 816.788
0.52 1045.66 219.623 826.038
0.53 1047.54 212.518 835.025
0.54 1051.34 207.534 843.811
0.55 1054.87 202.43  852.443
0.56 1059.11 198.214 860.899
0.57 1064.42 195.229 869.189
0.58 1069.58 192.299 877.285
0.59 1070.52 185.268 885.253
0.6 1072.84 179.781  893.06
0.61 1077.12 176.362 900.758
0.62 1083.53 175.251 908.276
0.63 1083.15 167.639 915.511
0.64 1086.53 163.971 922.559
0.65 1089.65 160.258 929.395
0.66 1091.95 155.929 936.018
0.67 1093.36 150.991 942.372
0.68 1097.16 148.777 948.387
0.69 1099.17 145.055 954.116
0.7 1102.78 143.156  959.626
0.71 1104.93 140.002 964.929
0.72 1106.06 136.056 970.005
0.73 1107.99 133.108 974.886
0.74 1111.01 131.45  979.56
0.75 1112.57 128.483 984.088
0.76 1113.22 124.761 988.455
0.77 1117.49 124.924 992.565
0.78 1119.74 123.239 996.497
0.79 1123.46 123.236 1000.22
0.8 1122.95 119.166  1003.79
0.81 1125.75 118.559 1007.19
0.82 1127.73 117.369 1010.36
0.83 1129.25 115.948 1013.3
0.84 1129.9 113.81   1016.09
0.85 1133.49 114.768 1018.72
0.86 1135.62 114.473 1021.15
0.87 1136.13 112.762 1023.37
0.88 1137.29 111.82  1025.47
0.89 1138.75 111.4   1027.35
0.9 1139 109.994     1029.01
0.91 1141.37 110.85  1030.52
0.92 1143.7 111.879  1031.82
0.93 1142.9 110.044  1032.86
0.94 1144.19 110.536 1033.65
0.95 1144.47 110.247 1034.22
0.96 1142 107.305    1034.69
0.97 1141.21 106.191 1035.01
0.98 1142.15 106.984 1035.17
0.99 1140.89 105.664 1035.23
1 1138.35 103.16     1035.19
1.01 1139.91 104.892 1035.02
1.02 1138.78 104.122 1034.65
1.03 1137.71 103.6   1034.11
1.04 1136.63 103.243 1033.39
1.05 1133.63 101.097 1032.53
1.06 1131.83 100.334 1031.5
1.07 1129.95 99.6324 1030.32
1.08 1128.16 99.1989 1028.96
1.09 1126.1 98.6405  1027.46
1.1 1122.8 96.9817   1025.82
1.11 1121.48 97.439  1024.04
1.12 1117.56 95.3687 1022.19
1.13 1115.92 95.6323 1020.29
1.14 1113.86 95.546  1018.31
1.15 1109.62 93.388  1016.24
1.16 1106.6 92.476   1014.12
1.17 1103.05 91.1221 1011.93
1.18 1102.27 92.5673 1009.71
1.19 1097.46 89.9768 1007.49
1.2 1094.16 88.9297  1005.23
1.21 1092.26 89.3436 1002.92
1.22 1087.13 86.5517 1000.57
1.23 1084.57 86.3931 998.177
1.24 1081.54 85.7794 995.759
1.25 1077.55 84.247  993.304
1.26 1075.39 84.5805 990.808
1.27 1070.65 82.3319 988.321
1.28 1069.52 83.7331 985.784
1.29 1064.28 81.1324 983.148
1.3 1061.05 80.5837  980.464
1.31 1056.43 78.6769 977.755
1.32 1052.96 77.9017 975.056
1.33 1049.81 77.4547 972.355
1.34 1046.84 77.1997 969.645
1.35 1041.14 74.1754 966.964
1.36 1036.79 72.4998 964.293
1.37 1034.39 72.6624 961.726
1.38 1031.36 72.1442 959.211
1.39 1028.01 71.2666 956.742
1.4 1022.65 68.384   954.262
1.41 1020.6 68.7898  951.806
1.42 1017.4 67.9929  949.411
1.43 1013.6 66.5275  947.076
1.44 1009.48 64.665  944.816
1.45 1005.72 63.0334 942.684
1.46 1003.37 62.7003 940.672
1.47 999.517 60.8091 938.708
1.48 996.369 59.5464 936.822
