Time TotalEnergy KineticEnergy PotentialEnergy
0.01 455.631 13.9452 441.686
0.02 459.746 16.4374 443.309
0.03 466.992 21.6066 445.386
0.04 474.667 26.9442 447.723
0.05 482.902 32.7482 450.154
0.06 492.772 40.1231 452.649
0.07 503.212 48.0064 455.205
0.08 514.468 56.6327 457.836
0.09 527.627 67.1027 460.524
0.1 541.342 78.076 463.266
0.11 555.592 89.4668 466.125
0.12 570.662 101.475 469.186
0.13 586.358 113.876 472.482
0.14 602.937 126.872 476.065
0.15 619.696 139.677 480.019
0.16 636.783 152.542 484.241
0.17 654.344 165.594 488.75
0.18 672.902 179.221 493.682
0.19 690.97 191.968 499.002
0.2 709.518 204.83 504.688
0.21 727.924 217.16 510.764
0.22 746.268 229.087 517.182
0.23 764.497 240.399 524.099
0.24 782.271 250.795 531.476
0.25 799.828 260.535 539.293
0.26 816.426 268.882 547.543
0.27 832.141 275.76 556.381
0.28 848.844 283.086 565.757
0.29 864.713 289.126 575.586
0.3 879.232 293.204 586.027
0.31 896.066 299.156 596.91
0.32 909.52 301.321 608.199
0.33 923.394 303.627 619.767
0.34 936.935 305.324 631.612
0.35 943.441 299.962 643.479
0.36 951.807 296.521 655.286
0.37 960.836 293.594 667.242
0.38 970.94 291.761 679.179
0.39 978.379 287.248 691.131
0.4 985.715 282.786 702.929
0.41 991.49 276.872 714.618
0.42 997.789 271.782 726.007
0.43 1003.16 266.045 737.114
0.44 1011.58 263.494 748.088
0.45 1015.97 257.064 758.907
0.46 1023.68 254.018 769.659
0.47 1026.97 246.718 780.256
0.48 1033.07 242.403 790.671
0.49 1037.4 236.598 800.8
0.5 1041.2 230.537 810.664
0.51 1047.26 226.929 820.331
0.52 1050.73 220.88 829.852
0.53 1055.81 216.668 839.147
0.54 1057.18 208.937 848.244
0.55 1062.04 204.944 857.097
0.56 1065.56 199.98 865.579
0.57 1067.3 193.51 873.792
0.58 1070.8 188.999 881.798
0.59 1071.85 182.265 889.583
0.6 1074.27 177.148 897.117
0.61 1076.05 171.642 904.41
0.62 1078.02 166.56 911.46
0.63 1081.89 163.535 918.354
0.64 1085.82 160.766 925.058
0.65 1088.48 156.87 931.61
0.66 1089.21 151.373 937.837
0.67 1092.15 148.389 943.759
0.68 1094.59 145.184 949.402
0.69 1098.11 143.204 954.909
0.7 1100.9 140.762 960.136
0.71 1103.62 138.427 965.194
0.72 1106.15 136.039 970.108
0.73 1106.91 132.1 974.81
0.74 1108.12 128.829 979.291
0.75 1112.18 128.583 983.599
0.76 1111.97 124.245 987.721
0.77 1115.75 124.035 991.713
0.78 1119.75 124.315 995.431
0.79 1120.11 121.223 998.892
0.8 1121.15 118.993 1002.15
0.81 1123.92 118.681 1005.24
0.82 1123.43 115.298 1008.14
0.83 1127.21 116.425 1010.79
0.84 1128.11 114.822 1013.28
0.85 1129.67 113.99 1015.68
0.86 1131.67 113.775 1017.89
0.87 1133.65 113.881 1019.77
0.88 1133.43 111.962 1021.47
0.89 1133.79 110.789 1023
0.9 1136.85 112.484 1024.37
0.91 1136.73 111.118 1025.61
0.92 1134.92 108.159 1026.76
0.93 1134.8 107.026 1027.78
0.94 1134.87 106.293 1028.58
0.95 1134.04 104.846 1029.19
0.96 1132.52 102.874 1029.65
0.97 1134.32 104.318 1030.01
0.98 1134.3 104.062 1030.24
0.99 1133.42 103.169 1030.26
1 1131.53 101.516 1030.01
1.01 1129.09 99.4701 1029.62
1.02 1127.78 98.705 1029.08
1.03 1128.5 100.072 1028.43
1.04 1126.91 99.2787 1027.64
1.05 1124.31 97.5716 1026.74
1.06 1122.22 96.4943 1025.73
1.07 1122.85 98.2021 1024.64
1.08 1120.48 97.0719 1023.41
1.09 1120.18 98.1122 1022.06
1.1 1118.15 97.5396 1020.61
1.11 1117.23 98.1349 1019.1
1.12 1114.2 96.7564 1017.44
1.13 1111.22 95.486 1015.73
1.14 1111.32 97.3219 1013.99
1.15 1106.37 94.226 1012.14
1.16 1102.63 92.4456 1010.18
1.17 1100.37 92.2596 1008.11
1.18 1096.95 90.9475 1006
1.19 1093.11 89.2894 1003.82
1.2 1089.07 87.4729 1001.6
1.21 1086.93 87.6069 999.318
1.22 1084.02 87.0167 997.002
1.23 1081.12 86.4064 994.715
1.24 1077.94 85.5141 992.427
1.25 1073.83 83.6704 990.163
1.26 1072.09 84.18 987.906
1.27 1068.57 82.9546 985.611
1.28 1066.12 82.8523 983.266
1.29 1063.1 82.218 980.877
1.3 1059.04 80.581 978.461
1.31 1054.5 78.4517 976.053
1.32 1053.63 79.9506 973.681
1.33 1048.92 77.6023 971.316
1.34 1045.76 76.7545 969.006
1.35 1043.72 76.9758 966.745
1.36 1038.47 73.9885 964.481
1.37 1037.4 75.2029 962.195
1.38 1033.75 73.8215 959.926
1.39 1029.71 72.0113 957.697
1.4 1027.58 72.0583 955.525
1.41 1024.77 71.3656 953.402
1.42 1022.5 71.168 951.334
1.43 1017.98 68.5702 949.411
1.44 1015.56 68.0094 947.546
1.45 1013.85 68.0772 945.775
1.46 1009.82 65.7194 944.105
1.47 1005.91 63.4432 942.469
1.48 1002.92 62.0611 940.859
1.49 1000.25 60.9963 939.254
1.5 997.162 59.4647 937.698
1.51 994.974 58.7632 936.211
1.52 992.351 57.5704 934.781
1.53 990.066 56.6261 933.44
1.54 987.372 55.247 932.125
1.55 985.033 54.1357 930.897
1.56 982.712 52.963 929.749
1.57 980.666 52.0005 928.665
1.58 978.73 51.0917 927.638
1.59 976.052 49.4046 926.647
1.6 975.045 49.3454 925.699
1.61 972.732 47.9187 924.813
1.62 971.435 47.4386 923.997
1.63 968.749 45.5252 923.224
1.64 968.052 45.5446 922.507
1.65 965.962 44.0912 921.871
1.66 964.351 43.0449 921.306
1.67 962.417 41.5999 920.817
1.68 960.855 40.4447 920.41
1.69 959.581 39.5388 920.042
1.7 958.382 38.6324 919.749
1.71 957.094 37.573 919.521
1.72 956.827 37.4996 919.328
1.73 955.759 36.6442 919.115
1.74 955.568 36.6464 918.922
1.75 954.323 35.5347 918.789
1.76 953.74 35.014 918.726
1.77 952.78 34.0578 918.723
1.78 952.581 33.8194 918.761
1.79 951.396 32.5773 918.819
1.8 951.408 32.489 918.919
1.81 950.705 31.6637 919.041
1.82 949.931 30.7604 919.171
1.83 949.773 30.4655 919.307
1.84 949.16 29.681 919.479
1.85 949.348 29.621 919.727
1.86 948.429 28.4001 920.029
1.87 947.884 27.5461 920.338
1.88 947.799 27.1468 920.652
1.89 947.296 26.3288 920.967
1.9 947.214 25.8972 921.317
1.91 946.717 24.9942 921.723
1.92 946.603 24.43 922.173
1.93 946.302 23.6034 922.699
1.94 946.523 23.2446 923.278
1.95 946.724 22.8284 923.895
1.96 946.391 21.871 924.52
1.97 946.381 21.2234 925.157
1.98 947.032 21.2162 925.816
1.99 946.974 20.4634 926.51
2 947.4 20.1974 927.202
2.01 947.289 19.3732 927.916
2.02 948.047 19.4141 928.633
2.03 948.171 18.8495 929.322
2.04 948.509 18.5414 929.968
2.05 948.482 17.8892 930.593
2.06 948.845 17.606 931.239
2.07 949.164 17.2668 931.897
2.08 949.479 16.9637 932.515
2.09 949.836 16.7479 933.088
2.1 949.636 15.97 933.666
2.11 949.706 15.456 934.25
2.12 950.207 15.367 934.839
2.13 950.535 15.0598 935.475
2.14 950.622 14.4891 936.133
2.15 950.912 14.1281 936.784
2.16 951.091 13.6604 937.43
2.17 951.43 13.3812 938.049
2.18 951.824 13.1509 938.673
2.19 952.052 12.772 939.28
2.2 952.433 12.5254 939.908
2.21 952.782 12.2282 940.554
2.22 953.182 11.9919 941.19
2.23 953.491 11.674 941.817
2.24 953.92 11.4998 942.42
2.25 954.145 11.1508 942.994
2.26 954.368 10.8245 943.544
2.27 954.626 10.5627 944.064
2.28 954.871 10.3237 944.547
2.29 954.974 9.92021 945.054
2.3 955.132 9.5606 945.571
2.31 955.345 9.24922 946.095
2.32 955.437 8.8384 946.599
2.33 955.793 8.7155 947.078
2.34 955.999 8.43502 947.564
2.35 956.237 8.16498 948.072
2.36 956.459 7.90617 948.553
2.37 956.806 7.80241 949.004
2.38 956.998 7.55988 949.438
2.39 957.326 7.47657 949.849
2.4 957.5 7.24426 950.256
2.41 957.602 6.96458 950.637
2.42 957.814 6.80664 951.008
2.43 957.996 6.63895 951.357
2.44 958.039 6.37111 951.668
2.45 958.182 6.25262 951.93
2.46 958.118 5.9443 952.174
2.47 958.237 5.84901 952.387
2.48 958.307 5.72554 952.581
2.49 958.36 5.60541 952.755
2.5 958.275 5.36267 952.912
2.51 958.172 5.11784 953.054
2.52 958.097 4.9243 953.172
2.53 958.164 4.89138 953.273
2.54 958.104 4.74158 953.362
2.55 958.097 4.66804 953.429
2.56 958.12 4.61584 953.504
2.57 958.038 4.47272 953.565
2.58 957.925 4.30839 953.617
2.59 957.869 4.22446 953.644
2.6 957.788 4.12226 953.666
2.61 957.671 3.99565 953.676
2.62 957.68 3.97696 953.703
2.63 957.548 3.82914 953.719
2.64 957.486 3.74559 953.741
2.65 957.327 3.56453 953.763
2.66 957.309 3.50728 953.802
2.67 957.273 3.41818 953.855
2.68 957.195 3.27655 953.919
2.69 957.199 3.2257 953.973
2.7 957.199 3.16408 954.035
2.71 957.229 3.13937 954.09
2.72 957.236 3.09515 954.141
2.73 957.237 3.03587 954.201
2.74 957.177 2.93936 954.238
2.75 957.114 2.8507 954.264
2.76 957.039 2.76111 954.277
2.77 956.977 2.70953 954.267
2.78 956.947 2.68685 954.26
2.79 956.918 2.65721 954.261
2.8 956.88 2.61429 954.266
2.81 956.826 2.55228 954.273
2.82 956.791 2.51437 954.276
2.83 956.792 2.50617 954.286
2.84 956.788 2.49829 954.29
2.85 956.717 2.43333 954.284
2.86 956.621 2.34492 954.276
2.87 956.55 2.29118 954.259
2.88 956.502 2.25781 954.244
2.89 956.44 2.21363 954.227
2.9 956.349 2.14884 954.2
2.91 956.273 2.10701 954.166
2.92 956.161 2.03422 954.127
2.93 956.066 1.98697 954.079
2.94 955.988 1.95433 954.033
2.95 955.885 1.91006 953.975
2.96 955.808 1.89369 953.914
2.97 955.746 1.8878 953.859
2.98 955.665 1.85573 953.809
2.99 955.586 1.81682 953.769
3 955.527 1.7917 953.736
3.01 955.443 1.73916 953.703
3.02 955.395 1.72457 953.67
3.03 955.34 1.70661 953.634
3.04 955.271 1.66723 953.604
3.05 955.223 1.64779 953.575
3.06 955.164 1.60552 953.559
3.07 955.17 1.61269 953.558
3.08 955.139 1.5652 953.574
3.09 955.157 1.55509 953.602
3.1 955.207 1.57025 953.636
3.11 955.215 1.53826 953.676
3.12 955.231 1.49963 953.731
3.13 955.222 1.43164 953.791
3.14 955.262 1.40728 953.855
3.15 955.302 1.37978 953.922
3.16 955.384 1.39675 953.987
3.17 955.458 1.40621 954.051
3.18 955.478 1.36331 954.115
3.19 955.524 1.35731 954.167
3.2 955.553 1.34971 954.203
3.21 955.55 1.31341 954.237
3.22 955.557 1.28649 954.27
3.23 955.568 1.27403 954.293
3.24 955.57 1.25912 954.31
3.25 955.559 1.23815 954.321
3.26 955.555 1.23218 954.323
3.27 955.55 1.24 954.31
3.28 955.495 1.19997 954.295
3.29 955.471 1.20018 954.271
3.3 955.404 1.16596 954.238
3.31 955.347 1.14336 954.204
3.32 955.308 1.14186 954.166
3.33 955.257 1.12164 954.135
3.34 955.244 1.14106 954.103
3.35 955.177 1.11187 954.065
3.36 955.098 1.07838 954.02
3.37 955.038 1.06511 953.973
3.38 954.974 1.04403 953.93
3.39 954.926 1.04437 953.881
3.4 954.855 1.02707 953.828
3.41 954.81 1.03442 953.775
3.42 954.738 1.01833 953.719
3.43 954.657 0.993859 953.663
3.44 954.606 0.99779 953.608
3.45 954.55 0.99122 953.559
3.46 954.518 1.0014 953.516
3.47 954.451 0.974958 953.476
3.48 954.39 0.949038 953.441
3.49 954.373 0.961528 953.411
3.5 954.345 0.960759 953.385
3.51 954.301 0.939109 953.361
3.52 954.277 0.930056 953.347
3.53 954.252 0.91971 953.333
3.54 954.209 0.883252 953.326
3.55 954.18 0.856249 953.324
3.56 954.18 0.854431 953.326
3.57 954.157 0.827202 953.33
3.58 954.164 0.827509 953.336
3.59 954.179 0.836816 953.342
3.6 954.168 0.822003 953.346
3.61 954.171 0.818229 953.353
3.62 954.176 0.809096 953.367
3.63 954.182 0.797767 953.384
3.64 954.204 0.804431 953.4
3.65 954.235 0.811618 953.424
3.66 954.256 0.805923 953.45
3.67 954.259 0.781889 953.478
3.68 954.258 0.749504 953.509
3.69 954.268 0.723295 953.544
3.7 954.325 0.745976 953.579
3.71 954.362 0.747839 953.615
3.72 954.384 0.732571 953.652
3.73 954.392 0.711822 953.68
3.74 954.401 0.701046 953.7
3.75 954.421 0.707392 953.713
3.76 954.435 0.717795 953.717
3.77 954.413 0.691982 953.721
3.78 954.415 0.691253 953.723
3.79 954.409 0.685956 953.723
3.8 954.383 0.66103 953.722
3.81 954.39 0.667863 953.722
3.82 954.378 0.655961 953.722
3.83 954.384 0.657772 953.727
3.84 954.398 0.664027 953.734
3.85 954.371 0.62951 953.742
3.86 954.385 0.635692 953.75
3.87 954.375 0.61872 953.756
3.88 954.381 0.618278 953.763
3.89 954.396 0.628315 953.768
3.9 954.383 0.611403 953.772
3.91 954.379 0.600187 953.779
3.92 954.392 0.605904 953.786
3.93 954.395 0.603343 953.792
3.94 954.406 0.600672 953.805
3.95 954.407 0.582645 953.824
3.96 954.415 0.569039 953.846
3.97 954.43 0.563413 953.867
3.98 954.454 0.566431 953.888
3.99 954.48 0.568591 953.911
